tree of heaven,tree of heaven leaf‎,tree of heaven‎ fall,tree of heaven‎ spring,tree of heaven‎ summer,tree of heaven‎ winter,Ailanthus altissima,Simaroubaceae
silk tree,silk tree leaf‎,silk tree‎ fall,silk tree‎ spring,silk tree‎ summer,silk tree‎ winter,Albizia julibrissin  • • ,Fabaceae ,silktree,powderpuff tree,mimosa
Hardy Silk Tree,Hardy Silk Tree leaf‎,Hardy Silk Tree‎ fall,Hardy Silk Tree‎ spring,Hardy Silk Tree‎ summer,Hardy Silk Tree‎ winter,Albizia julibrissin var. rosea,Fabaceae
strawberry tree,strawberry tree‎ leaf,strawberry tree‎ leaf,strawberry tree‎ fall,strawberry tree‎ spring,strawberry tree‎ summer,strawberry tree‎ winter,Arbutus unedo,Ericaceae
Orange ball tree,Orange ball tree‎ leaf,Orange ball tree‎ fall,Orange ball tree‎ spring,Orange ball tree summer‎,Orange ball tree‎ winter,Buddleja globosa,Scrophulariaceae
Siberian pea-tree,Siberian pea-tree leaf‎,Siberian pea-tree‎‎ fall,Siberian pea-tree‎‎ spring,Siberian pea-tree‎‎ summer,Siberian pea-tree‎‎ winter,Caragana arborescens,Fabaceae
Gerard pea tree,Gerard pea tree leaf‎,Gerard pea tree‎‎ fall,Gerard pea tree‎‎ spring,Gerard pea tree‎‎ summer,Gerard pea tree‎‎ winter,Caragana gerardiana,Fabaceae
tree anemone,tree anemone leaf‎,tree anemone‎‎ fall,tree anemone‎‎ spring,tree anemone‎‎ summer,tree anemone‎‎ winter,Carpenteria californica 'Elizabeth',Hydrangeaceae
Katsura tree,Katsura tree leaf‎,Katsura tree‎‎ fall,Katsura tree‎‎ spring,Katsura tree‎‎ summer,Katsura tree‎‎ winter,Cercidiphyllum japonicum,Cercidiphyllacea
Judas tree,Judas tree leaf,Judas tree‎‎ fall,Judas tree‎‎ spring,Judas tree‎‎ summer,Judas tree‎‎ winter,Cercis siliquastrum,Fabaceae
fringe tree,fringe tree leaf‎,fringe tree‎‎ fall,fringe tree‎‎ spring,fringe tree‎‎ summer,fringe tree‎‎ winter,Chionanthus virginicus,Oleaceae
Camphor Tree,Camphor Tree leaf‎,Camphor Tree‎‎ fall,Camphor Tree‎‎ spring,Camphor Tree‎‎ summer,Camphor Tree‎‎ winter,Cinnamomum camphora,Lauraceae
Wedding Cake Tree,Wedding Cake Tree leaf‎,Wedding Cake Tree‎‎ fall,Wedding Cake Tree‎‎ spring,Wedding Cake Tree‎‎ summer,Wedding Cake Tree‎‎ winter,Cornus controversa 'Variegata' ,Cornaceae
Purple Smoketree,Purple Smoketree leaf‎,Purple Smoketree‎‎ fall,Purple Smoketree‎‎ spring,Purple Smoketree‎‎ summer,Purple Smoketree‎‎ winter,Cotinus coggygria 'Purpureus' ,Anacardiaceae
Chilean lily-of-the-valley tree,Chilean lily-of-the-valley tree leaf‎,Chilean lily-of-the-valley tree‎‎ fall,Chilean lily-of-the-valley tree‎‎ spring,Chilean lily-of-the-valley tree‎‎ summer,Chilean lily-of-the-valley tree‎‎ winter,Crinodendron patagua,Elaeocarpaceae
Dove Tree,Dove Tree leaf‎,Dove Tree‎‎ fall,Dove Tree‎‎ spring,Dove Tree‎‎ summer,Dove Tree‎‎ winter,Davidia involucrata 'Sonoma' ,Cornaceae
Isu tree,Isu tree‎ leaf,Isu tree‎‎ fall,Isu tree‎‎ spring,Isu tree‎‎ summer,Isu tree‎‎ winter,Distylium racemosum,Hamamelidaceae
spindletree,spindletree leaf‎,spindletree‎‎ fall,spindletree‎‎ spring,spindletree‎‎ summer,spindletree‎‎ winter,Euonymus europaeus ,Celastraceae ,European spindletree
Franklin Tree,Franklin Tree‎ leaf,Franklin Tree‎‎ fall,Franklin Tree‎‎ spring,Franklin Tree‎‎ summer,Franklin Tree‎‎ winter,Franklinia alatamaha,Theaceae
maidenhair tree,maidenhair tree leaf‎,maidenhair tree‎‎ fall,maidenhair tree‎‎ spring,maidenhair tree‎‎ summer,maidenhair tree‎‎ winter,Ginkgo biloba,Ginkgoaceae
Kentucky coffee tree,Kentucky coffee tree leaf‎,Kentucky coffee tree‎‎ fall,Kentucky coffee tree‎‎ spring,Kentucky coffee tree‎‎ summer,Kentucky coffee tree‎‎ winter,Gymnocladus dioica,Fabaceae
Japanese Raisin Tree,Japanese Raisin Tree leaf‎,Japanese Raisin Tree‎‎ fall,Japanese Raisin Tree‎‎ spring,Japanese Raisin Tree‎‎ summer,Japanese Raisin Tree‎‎ winter,Hovenia dulcis ,Rhamnaceae
Iigiri Tree,Iigiri Tree leaf‎,Iigiri Tree‎‎ fall,Iigiri Tree‎‎ spring,Iigiri Tree‎‎ summer,Iigiri Tree‎‎ winter,Idesia polycarpa ,Salicaceae
Henry anise tree,Henry anise tree leaf‎,Henry anise tree‎‎ fall,Henry anise tree‎‎ spring,Henry anise tree‎‎ summer,Henry anise tree‎‎ winter,Illicium henryi ,Schisandraceae
Golden Rain Tree,Golden Rain Tree leaf‎,Golden Rain Tree‎‎ fall,Golden Rain Tree‎‎ spring,Golden Rain Tree‎‎ summer,Golden Rain Tree‎‎ winter,Koelreuteria paniculata ,Sapindaceae
Golden Chain Tree,Golden Chain Tree leaf‎,Golden Chain Tree‎‎ fall,Golden Chain Tree‎‎ spring,Golden Chain Tree‎‎ summer,Golden Chain Tree‎‎ winter,Laburnum anagyroides,Fabaceae
Japanese Spice Tree,Japanese Spice Tree leaf‎,Japanese Spice Tree‎‎ fall,Japanese Spice Tree‎‎ spring,Japanese Spice Tree‎‎ summer,Japanese Spice Tree‎‎ winter,Lindera obtusiloba,Lauraceae
Chinese Tulip Tree,Chinese Tulip Tree‎ leaf,Chinese Tulip Tree‎‎ fall,Chinese Tulip Tree‎‎ spring,Chinese Tulip Tree‎‎ summer,Chinese Tulip Tree‎‎ winter,Liriodendron chinense,Magnoliaceae
Tulip Tree,Tulip Tree leaf,Tulip Tree‎ fall,Tulip Tree‎ spring,Tulip Tree‎ summer,Tulip Tree‎ winter,Liriodendron tulipifera,Magnoliaceae
Yellow Willow Tree,Yellow Willow Tree leaf‎,Yellow Willow Tree‎‎ fall,Yellow Willow Tree‎‎ spring,Yellow Willow Tree‎‎ summer,Yellow Willow Tree‎‎ winter,Magnolia ernestii ,Magnoliaceae
Bigleaf Cucumber Tree,Bigleaf Cucumber Tree leaf‎,Bigleaf Cucumber Tree‎‎ fall,Bigleaf Cucumber Tree‎‎ spring,Bigleaf Cucumber Tree‎‎ summer,Bigleaf Cucumber Tree‎‎ winter,Magnolia macrophylla,Magnoliaceae
Smiling Forest Lily Tree,Smiling Forest Lily Tree leaf‎,Smiling Forest Lily Tree‎‎ fall,Smiling Forest Lily Tree‎‎ spring,Smiling Forest Lily Tree‎‎ summer,Smiling Forest Lily Tree‎‎ winter,Magnolia maudiae ,Magnoliacea
Buddhaism tree,Buddhaism tree leaf‎,Buddhaism tree‎‎ fall,Buddhaism tree‎‎ spring,Buddhaism tree‎‎ summer,Buddhaism tree‎‎ winter,Neolitsea sericea,Lauraceae
Sourwood Tree,Sourwood Tree leaf‎,Sourwood Tree‎‎ fall,Sourwood Tree‎‎ spring,Sourwood Tree‎‎ summer,Sourwood Tree‎‎ winter,Oxydendrum arboreum,Ericaceae
Tree Peony,Tree Peony‎ leaf,Tree Peony‎‎ fall,Tree Peony‎‎ spring,Tree Peony‎‎ summer,Tree Peony‎‎ winter,Paeonia delavayi  ,Paeoniaceae
royal paulownia,royal paulownia‎ leaf,royal paulownia‎ fall,royal paulownia‎‎ spring,royal paulownia‎‎ summer,royal paulownia‎‎ winter,Paulownia tomentosa ,Paulowniaceae ,Empress Tree,princess tree
Amur Cork Tree,Amur Cork Tree leaf‎,Amur Cork Tree‎‎ fall,Amur Cork Tree‎‎ spring,Amur Cork Tree‎‎ summer,Amur Cork Tree‎‎ winter,Phellodendron amurense,Rutaceae
alpine celery tree,alpine celery tree‎ leaf,alpine celery tree‎‎ fall,alpine celery tree‎‎ spring,alpine celery tree‎‎ summer,alpine celery tree‎‎ winter,Phyllocladus alpinus ,Podocarpaceae
London Plane Tree,London Plane Tree leaf,London Plane Tree‎ fall,London Plane Tree‎ spring,London Plane Tree‎ summer,London Plane Tree‎ winter,Platanus acerifolia,Platanaceae
California Hoptree,California Hoptree leaf‎,California Hoptree‎‎ fall,California Hoptree‎‎ spring,California Hoptree‎‎ summer,California Hoptree‎‎ winter,Ptelea crenulata ,Rutaceae
Hop Tree,Hop Tree leaf‎,Hop Tree‎‎ fall,Hop Tree‎‎ spring,Hop Tree‎‎ summer,Hop Tree‎‎ winter,Ptelea trifoliata ,Rutaceae
Fragrant Epaulette Tree,Fragrant Epaulette Tree leaf‎,Fragrant Epaulette Tree‎‎ fall,Fragrant Epaulette Tree‎‎ spring,Fragrant Epaulette Tree‎‎ summer,Fragrant Epaulette Tree‎‎ winter,Pterostyrax hispidus,Styracaceae
Pepper Tree,Pepper Tree‎ leaf,Pepper Tree‎‎ fall,Pepper Tree‎‎ spring,Pepper Tree‎‎ summer,Pepper Tree‎‎ winter,Schinus,Anacardiaceae
servicetree,servicetree‎ leaf,servicetree‎‎ fall,servicetree‎‎ spring,servicetree‎‎ summer,servicetree‎‎ winter,Sorbus domestica,Rosaceae
Japanese Pagoda Tree,Japanese Pagoda Tree leaf‎,Japanese Pagoda Tree‎‎ fall,Japanese Pagoda Tree‎‎ spring,Japanese Pagoda Tree‎‎ summer,Japanese Pagoda Tree‎‎ winter,Styphnolobium japonica,Fabaceae
Japanese Tree Lilac,Japanese Tree Lilac leaf‎,Japanese Tree Lilac‎‎ fall,Japanese Tree Lilac‎‎ spring,Japanese Tree Lilac‎‎ summer,Japanese Tree Lilac‎‎ winter,Syringa reticulata ,Oleaceae
Korean Bee-Bee Tree,Korean Bee-Bee Tree‎ leaf,Korean Bee-Bee Tree‎‎ fall,Korean Bee-Bee Tree‎‎ spring,Korean Bee-Bee Tree‎‎ summer,Korean Bee-Bee Tree‎‎ winter,Tetradium daniellii ,Rutaceae
Wheel Tree,Wheel Tree leaf‎,Wheel Tree‎‎ fall,Wheel Tree‎‎ spring,Wheel Tree‎‎ summer,Wheel Tree‎‎ winter,Trochodendron aralioides,Trochodendraceae
Toothache tree,Toothache tree leaf,Toothache tree‎ fall,Toothache tree‎ spring,Toothache tree‎ summer,Toothache tree‎ winter,Zanthoxylum americanum,Rutaceae
